1,11,100
9,11,25
16,7,35
24,8,80
1,15,80
9,13,35
16,6,15
24,7,100
1,12,5
9,12,15
16,14,9
24,5,40
1,4,15
9,3,15
16,3,5
24,6,30
2,1,65
10,2,70
17,9,150
24,16,20
2,9,40
10,7,250
17,7,50
24,3,10
2,11,35
10,3,20
17,13,25
24,14,10
2,12,20
10,14,15
17,3,20
25,15,120
2,5,20
10,12,5
17,12,10
25,16,35
2,4,20
11,2,100
17,14,5
25,14,30
3,11,55
11,9,20
18,8,140
25,8,20
3,15,55
11,10,20
18,6,30
25,3,20
3,6,50
11,3,5
18,14,15
26,15,150
3,12,20
11,12,2
18,5,10
26,16,20
3,10,15
12,7,350
18,16,15
26,3,2
3,16,5
12,13,35
19,5,120
27,15,50
4,2,50
12,3,5
19,7,45
27,7,150
4,11,50
12,16,5
19,10,20
27,5,80
4,4,40
13,1,180
19,3,15
27,16,35
4,9,35
13,11,100
20,13,50
27,3,2
4,5,20
13,10,40
20,7,75
28,8,100
4,12,5
13,12,20
20,15,75
28,5,20
5,2,80
13,3,5
20,16,10
28,6,20
5,9,40
14,1,90
20,3,5
28,16,15
5,3,25
14,7,50
21,13,70
28,3,10
5,12,5
14,6,20
21,6,30
29,15,150
6,1,80
14,10,10
21,3,20
29,9,200
6,11,150
14,3,5
21,5,20
29,16,15
6,4,30
14,12,5
21,16,15
30,15,70
6,12,10
14,14,3
22,8,140
30,16,10
7,6,125
15,2,100
22,6,30
31,7,150
7,16,15
15,9,20
22,14,20
31,15,150
8,8,75
15,5,20
22,16,15
31,16,25
8,6,50
15,3,20
22,5,8
32,17,8
8,16,15
15,10,10
23,11,250
33,17,8
9,1,80
15,12,5
23,10,65
33,16,25
9,10,30
16,5,120
23,3,20
33,7,75
